UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
8453,M23312,M,298.6,310.0,1512.0,37.5,27.0,0,No Failure
1224,L48403,L,297.0,308.3,1492.0,48.1,137.0,1,Failure
2051,M16910,M,299.5,309.3,1675.0,29.2,132.0,0,No Failure
4473,L51652,L,302.7,310.6,1501.0,48.7,4.0,0,No Failure
9655,L56834,L,299.1,310.0,1367.0,56.3,203.0,0,No Failure
7106,L54285,L,300.9,310.4,1536.0,34.2,45.0,0,No Failure
2876,M17735,M,300.5,309.4,1877.0,23.8,31.0,0,No Failure
5160,L52339,L,304.2,313.4,1490.0,44.0,41.0,0,No Failure
5601,L52780,L,302.8,312.1,1487.0,36.6,84.0,0,No Failure
9230,M24089,M,298.1,309.0,2042.0,17.8,129.0,0,No Failure
8368,L55547,L,298.9,309.8,1390.0,49.9,21.0,0,No Failure
5837,L53016,L,301.2,311.1,1550.0,39.7,20.0,0,No Failure
4188,M19047,M,302.2,310.7,1601.0,33.0,166.0,0,No Failure
1782,L48961,L,298.5,308.1,1662.0,28.6,48.0,0,No Failure
3111,H32524,H,299.9,309.2,1525.0,33.2,0.0,1,Failure
2353,M17212,M,299.3,308.5,1422.0,45.4,37.0,0,No Failure
1290,M16149,M,298.6,309.7,1635.0,32.2,110.0,0,No Failure
1326,H30739,H,298.8,310.1,1567.0,36.8,197.0,0,No Failure
9452,H38865,H,298.0,308.7,1536.0,39.6,99.0,0,No Failure
6193,L53372,L,301.0,310.9,1428.0,45.3,47.0,0,No Failure
2808,M17667,M,299.9,309.3,1452.0,41.9,106.0,0,No Failure
6369,M21228,M,300.0,309.6,1423.0,48.7,67.0,0,No Failure
3427,L50606,L,301.5,310.5,1380.0,48.7,160.0,0,No Failure
7763,M22622,M,300.3,311.5,1400.0,43.8,0.0,0,No Failure
1960,M16819,M,297.8,307.6,1352.0,49.4,102.0,0,No Failure
9415,L56594,L,298.1,308.6,1354.0,53.9,207.0,1,Failure
2226,M17085,M,299.7,309.0,1465.0,49.0,158.0,0,No Failure
5334,M20193,M,303.5,312.6,1405.0,51.6,62.0,0,No Failure
3350,L50529,L,301.4,310.7,1673.0,27.8,181.0,0,No Failure
1530,L48709,L,298.1,309.0,1557.0,36.0,56.0,0,No Failure
5257,L52436,L,303.5,313.0,1393.0,51.6,80.0,0,No Failure
862,M15721,M,296.1,306.9,1951.0,23.3,38.0,0,No Failure
3811,M18670,M,302.2,310.8,1562.0,38.1,78.0,0,No Failure
2413,L49592,L,299.1,308.6,1408.0,46.7,196.0,0,No Failure
8332,M23191,M,298.8,309.7,1392.0,48.7,133.0,1,Failure
5853,H35266,H,301.2,310.9,1798.0,22.3,59.0,0,No Failure
5939,L53118,L,300.5,310.4,1702.0,33.1,71.0,0,No Failure
7980,M22839,M,301.2,312.4,1428.0,36.6,99.0,0,No Failure
1470,L48649,L,298.6,309.8,1497.0,41.6,118.0,0,No Failure
7896,L55075,L,300.8,312.6,1422.0,50.0,117.0,0,No Failure
9517,L56696,L,298.9,310.1,1341.0,54.5,51.0,0,No Failure
1778,H31191,H,298.6,308.2,1555.0,36.8,36.0,1,Failure
8883,L56062,L,298.0,309.2,1378.0,49.7,94.0,0,No Failure
3476,L50655,L,301.8,310.7,1644.0,33.4,68.0,0,No Failure
8416,M23275,M,298.7,309.9,1434.0,53.0,144.0,0,No Failure
8616,L55795,L,297.6,308.6,1382.0,47.1,11.0,1,Power Failure
8966,L56145,L,297.1,307.9,1496.0,44.7,88.0,0,No Failure
6322,L53501,L,300.7,310.2,1286.0,64.9,160.0,0,No Failure
782,L47961,L,296.8,308.0,1675.0,29.7,46.0,0,No Failure
9017,L56196,L,297.3,308.2,1396.0,52.7,212.0,0,No Failure
7470,L54649,L,300.3,311.6,1607.0,33.5,109.0,0,No Failure
5502,L52681,L,302.7,312.1,1543.0,37.5,33.0,0,No Failure
200,L47379,L,298.4,308.6,1433.0,47.1,101.0,0,No Failure
8165,L55344,L,299.6,310.9,1472.0,40.9,137.0,0,No Failure
4174,M19033,M,302.2,310.6,1346.0,49.2,134.0,1,Overstrain Failure
1958,H31371,H,297.9,307.7,1618.0,35.9,92.0,1,Failure
1761,L48940,L,298.1,307.5,1684.0,33.1,200.0,0,No Failure
305,L47484,L,297.8,308.4,1737.0,27.5,146.0,0,No Failure
492,L47671,L,297.4,309.2,1420.0,45.6,193.0,0,No Failure
8612,L55791,L,297.4,308.3,1472.0,45.5,2.0,1,Failure
6845,M21704,M,301.3,311.4,1838.0,23.2,215.0,0,No Failure
9928,L57107,L,298.5,308.6,1522.0,36.9,53.0,0,No Failure
6648,L53827,L,301.5,310.5,1927.0,22.4,149.0,0,No Failure
6242,L53421,L,301.1,310.5,1324.0,52.4,171.0,0,No Failure
8883,L56062,L,298.0,309.2,1378.0,49.7,94.0,0,No Failure
231,L47410,L,298.3,308.6,1570.0,34.8,175.0,0,No Failure
190,M15049,M,298.3,308.4,1539.0,43.4,69.0,0,No Failure
4952,L52131,L,303.8,312.7,1596.0,36.6,134.0,0,No Failure
3192,M18051,M,300.1,309.2,1732.0,33.7,218.0,0,No Failure
560,L47739,L,297.5,309.4,1503.0,40.6,144.0,0,No Failure
4638,M19497,M,303.1,311.3,1847.0,24.7,212.0,0,No Failure
3731,M18590,M,302.3,311.2,1405.0,47.7,88.0,0,No Failure
6370,H35783,H,300.0,309.5,1781.0,24.9,70.0,0,No Failure
8512,L55691,L,298.4,309.7,1457.0,44.2,175.0,0,No Failure
9880,M24739,M,298.8,309.8,1490.0,38.6,127.0,0,No Failure
5291,L52470,L,303.9,313.3,1526.0,40.7,164.0,0,No Failure
9777,M24636,M,298.6,309.6,1397.0,54.1,47.0,0,No Failure
3159,L50338,L,300.4,309.7,1679.0,30.1,136.0,0,No Failure
4766,L51945,L,303.7,312.0,1892.0,22.5,79.0,0,No Failure
3650,L50829,L,302.2,311.5,1481.0,40.4,93.0,1,Failure
4459,L51638,L,302.6,310.4,1478.0,47.7,189.0,0,No Failure
4189,M19048,M,302.3,310.8,1611.0,31.8,169.0,0,No Failure
5199,L52378,L,303.8,312.8,1428.0,53.3,152.0,0,No Failure
1609,L48788,L,297.8,307.7,1393.0,38.0,29.0,0,No Failure
4642,H34055,H,303.1,311.3,1494.0,42.7,221.0,0,No Failure
3107,L50286,L,299.8,309.1,1485.0,39.9,207.0,0,No Failure
31,M14890,M,299.1,309.5,1339.0,48.2,86.0,0,No Failure
2939,L50118,L,300.7,309.5,1479.0,34.5,197.0,0,No Failure
667,L47846,L,297.5,309.0,1470.0,43.5,191.0,0,No Failure
9533,L56712,L,299.2,310.5,1384.0,48.7,93.0,0,No Failure
4748,L51927,L,303.3,311.2,1763.0,27.3,27.0,0,No Failure
2151,H31564,H,299.3,308.8,1636.0,35.5,180.0,0,No Failure
49,H29462,H,298.8,309.2,1425.0,53.9,135.0,0,No Failure
5688,L52867,L,302.3,311.7,2170.0,18.2,91.0,0,No Failure
4314,L51493,L,301.4,310.1,1502.0,46.6,37.0,0,No Failure
5955,L53134,L,300.8,310.9,1732.0,25.7,109.0,0,No Failure
5496,H34909,H,302.9,312.5,1357.0,55.0,12.0,0,No Failure
3494,M18353,M,301.9,311.0,1638.0,35.4,116.0,0,No Failure
4742,L51921,L,303.2,311.3,1393.0,52.9,12.0,0,No Failure
6796,L53975,L,301.4,310.8,1477.0,50.4,90.0,0,No Failure
1220,M16079,M,296.9,308.1,1357.0,41.8,127.0,1,Failure
8299,H37712,H,298.7,310.1,1435.0,45.6,37.0,0,No Failure
1751,M16610,M,298.4,307.8,1617.0,31.6,173.0,0,No Failure
2063,M16922,M,299.7,309.6,1477.0,42.7,163.0,0,No Failure
5823,M20682,M,301.3,311.0,1463.0,50.2,214.0,0,No Failure
5400,H34813,H,302.8,312.4,1411.0,53.8,246.0,0,No Failure
9472,M24331,M,298.6,309.4,1774.0,27.5,154.0,0,No Failure
4361,L51540,L,302.1,310.1,1543.0,35.8,164.0,0,No Failure
9,M14868,M,298.3,308.7,1667.0,28.6,18.0,0,No Failure
3761,L50940,L,302.3,310.9,1377.0,46.8,166.0,0,No Failure
4287,M19146,M,301.7,309.9,1434.0,47.9,189.0,0,No Failure
5042,L52221,L,304.0,313.2,1314.0,47.1,144.0,0,No Failure
1823,L49002,L,298.1,307.6,1488.0,39.4,157.0,0,No Failure
4390,M19249,M,302.1,310.0,1355.0,45.1,6.0,0,No Failure
5031,M19890,M,303.9,313.1,1437.0,48.3,110.0,0,No Failure
2472,L49651,L,298.9,308.4,1301.0,51.1,138.0,0,No Failure
9160,M24019,M,297.5,308.6,1510.0,35.5,155.0,0,No Failure
7914,L55093,L,300.7,312.1,1395.0,41.9,157.0,0,No Failure
8608,L55787,L,297.5,308.4,1433.0,50.0,218.0,0,No Failure
4895,H34308,H,303.8,312.5,1447.0,46.6,198.0,0,No Failure
8604,H38017,H,297.3,308.0,1384.0,49.1,206.0,0,No Failure
1160,L48339,L,297.0,307.8,1609.0,35.6,193.0,0,No Failure
5385,M20244,M,302.9,312.4,1421.0,46.0,206.0,0,No Failure
6879,H36292,H,300.9,311.2,1518.0,35.0,90.0,0,No Failure
9515,L56694,L,299.0,310.1,1416.0,45.9,47.0,0,No Failure
458,L47637,L,297.4,308.6,1276.0,53.6,103.0,1,Failure
4169,L51348,L,302.2,310.6,1632.0,30.5,122.0,1,Overstrain Failure
542,L47721,L,297.4,309.4,1296.0,52.3,96.0,0,No Failure
9516,L56695,L,299.0,310.2,1682.0,28.8,49.0,0,No Failure
5524,M20383,M,302.5,311.9,1524.0,34.8,86.0,0,No Failure
1938,L49117,L,298.2,308.0,1411.0,42.4,48.0,0,No Failure
7863,M22722,M,300.5,312.0,1382.0,54.1,27.0,0,No Failure
9613,M24472,M,299.0,310.2,1625.0,31.8,89.0,0,No Failure
2789,L49968,L,300.3,309.6,1326.0,52.4,57.0,0,No Failure
508,H29921,H,297.8,309.4,1445.0,48.2,10.0,0,No Failure
7850,M22709,M,300.3,311.7,1374.0,47.9,222.0,0,No Failure
2787,M17646,M,300.2,309.5,1630.0,28.3,51.0,0,No Failure
985,L48164,L,296.3,307.1,1419.0,48.6,142.0,0,No Failure
698,M15557,M,297.6,308.8,1453.0,39.7,69.0,0,No Failure
4782,L51961,L,303.7,312.3,1384.0,45.9,121.0,0,No Failure
2579,L49758,L,299.4,309.3,1391.0,46.6,185.0,0,No Failure
7530,L54709,L,300.1,311.4,1467.0,35.7,45.0,0,No Failure
5320,M20179,M,303.5,312.7,1402.0,47.0,23.0,0,No Failure
5361,L52540,L,303.3,312.6,1463.0,44.0,140.0,0,No Failure
3238,M18097,M,300.9,309.5,1758.0,26.8,116.0,0,No Failure
8805,M23664,M,297.5,308.6,1255.0,60.7,77.0,0,No Failure
8904,M23763,M,297.4,308.7,1382.0,49.9,151.0,0,No Failure
2512,M17371,M,299.0,308.9,1526.0,41.1,20.0,0,No Failure
7091,M21950,M,300.6,310.2,1478.0,40.1,5.0,0,No Failure
5329,M20188,M,303.7,312.9,1406.0,41.9,48.0,1,Failure
2369,M17228,M,299.3,308.4,1468.0,42.2,83.0,0,No Failure
2165,L49344,L,299.6,309.2,1540.0,36.7,221.0,0,No Failure
6893,L54072,L,301.0,311.6,1440.0,43.3,131.0,0,No Failure
2554,L49733,L,299.3,309.1,1473.0,40.3,125.0,0,No Failure
9697,L56876,L,298.9,309.9,1404.0,39.8,62.0,0,No Failure
1586,L48765,L,298.2,308.3,1400.0,48.7,194.0,1,Failure
3190,L50369,L,300.1,309.1,1551.0,33.7,214.0,0,No Failure
5485,M20344,M,302.5,312.0,1826.0,25.3,203.0,0,No Failure
2160,M17019,M,299.5,309.0,1602.0,31.3,210.0,0,No Failure
5381,L52560,L,302.8,312.3,1494.0,37.5,198.0,0,No Failure
7870,M22729,M,300.5,312.0,1779.0,27.7,46.0,0,No Failure
6290,L53469,L,301.0,310.5,1248.0,61.4,77.0,0,No Failure
490,M15349,M,297.5,309.2,1347.0,55.8,188.0,0,No Failure
2419,L49598,L,298.9,308.3,1660.0,34.4,9.0,0,No Failure
6903,L54082,L,301.0,311.6,1461.0,40.6,154.0,0,No Failure
4019,M18878,M,302.0,310.8,1783.0,23.1,190.0,1,Heat Dissipation Failure
9722,L56901,L,298.8,309.8,1490.0,40.6,124.0,0,No Failure
7596,H37009,H,300.5,311.2,1397.0,45.2,2.0,0,No Failure
4150,L51329,L,301.9,310.4,1603.0,37.6,69.0,0,No Failure
8228,M23087,M,299.1,310.4,1524.0,51.4,66.0,0,No Failure
6633,L53812,L,301.4,310.4,1301.0,51.2,112.0,0,No Failure
4156,L51335,L,302.0,310.5,1370.0,44.4,85.0,0,No Failure
6758,L53937,L,301.8,311.2,1822.0,26.2,204.0,0,No Failure
8969,L56148,L,297.1,307.8,1454.0,50.6,94.0,0,No Failure
3746,L50925,L,302.6,311.4,1738.0,25.8,128.0,1,Power Failure
8301,L55480,L,298.7,310.1,1558.0,37.6,44.0,0,No Failure
4958,M19817,M,303.8,312.6,1768.0,23.9,149.0,0,No Failure
7855,L55034,L,300.3,311.8,1551.0,37.2,9.0,0,No Failure
8038,L55217,L,300.7,311.8,1603.0,34.1,17.0,0,No Failure
9061,H38474,H,297.2,308.3,1453.0,45.8,105.0,0,No Failure
7376,M22235,M,299.4,309.9,1567.0,40.6,87.0,1,Failure
6654,M21513,M,301.4,310.3,1610.0,29.1,166.0,0,No Failure
2010,M16869,M,298.6,308.3,1717.0,28.7,29.0,0,No Failure
5967,L53146,L,300.4,310.8,1396.0,49.3,142.0,0,No Failure
6411,L53590,L,300.4,310.1,1544.0,41.9,184.0,0,No Failure
8438,L55617,L,298.7,309.8,1181.0,65.9,203.0,0,No Failure
1306,L48485,L,298.8,310.0,1672.0,30.4,150.0,0,No Failure
9933,L57112,L,298.3,308.2,1663.0,28.4,67.0,0,No Failure
1889,M16748,M,297.8,307.4,1902.0,24.3,129.0,0,No Failure
5146,L52325,L,304.5,313.7,1670.0,32.9,7.0,1,Failure
5734,L52913,L,302.3,311.8,1487.0,43.2,206.0,0,No Failure
2731,L49910,L,299.6,309.2,1425.0,45.9,133.0,0,No Failure
5341,L52520,L,303.5,312.7,1393.0,49.3,82.0,1,Failure
9950,M24809,M,298.2,307.8,1411.0,53.4,110.0,0,No Failure
3409,M18268,M,301.2,310.4,1382.0,41.6,117.0,0,No Failure
7187,M22046,M,300.4,310.5,1644.0,31.4,41.0,0,No Failure
3103,L50282,L,299.9,309.1,1412.0,48.3,198.0,0,No Failure
5897,L53076,L,301.1,310.8,1274.0,55.7,169.0,0,No Failure
8514,M23373,M,298.2,309.5,1478.0,36.5,182.0,1,Failure
9501,L56680,L,299.2,310.2,1697.0,30.6,12.0,0,No Failure
9501,L56680,L,299.2,310.2,1697.0,30.6,12.0,0,No Failure
1509,M16368,M,298.0,308.6,1507.0,37.3,217.0,0,No Failure
1856,H31269,H,297.7,307.3,1249.0,62.8,47.0,1,Failure
8353,L55532,L,298.6,309.6,1491.0,36.9,192.0,0,No Failure
9616,M24475,M,299.0,310.2,1564.0,39.9,97.0,0,No Failure
7166,L54345,L,300.2,310.1,1392.0,47.9,201.0,0,No Failure
7079,L54258,L,300.7,310.5,1357.0,52.6,199.0,0,No Failure
8325,M23184,M,298.7,309.5,1394.0,46.0,113.0,0,No Failure
1945,L49124,L,298.1,308.1,1791.0,27.3,63.0,0,No Failure
716,L47895,L,297.4,308.6,1324.0,59.1,118.0,0,No Failure
652,L47831,L,297.6,309.1,1503.0,38.9,157.0,0,No Failure
4225,L51404,L,302.0,310.7,1698.0,28.1,39.0,0,No Failure
2167,M17026,M,299.6,309.2,1867.0,23.4,225.0,0,No Failure
6838,M21697,M,301.0,311.0,1423.0,38.6,199.0,0,No Failure
8028,L55207,L,300.6,311.9,1425.0,44.9,224.0,0,No Failure
7385,L54564,L,299.7,310.4,1614.0,36.2,108.0,0,No Failure
9651,M24510,M,299.1,310.0,1437.0,41.1,192.0,0,No Failure
9926,M24785,M,298.5,308.7,1367.0,47.3,47.0,0,No Failure
8144,L55323,L,299.7,310.9,1477.0,40.4,83.0,0,No Failure
4775,L51954,L,303.6,312.0,1827.0,23.3,103.0,0,No Failure
2518,L49697,L,298.8,308.5,1395.0,44.4,33.0,0,No Failure
3880,M18739,M,302.6,311.7,1430.0,51.7,32.0,0,No Failure
7399,M22258,M,299.7,310.7,1498.0,37.8,146.0,0,No Failure
2655,L49834,L,299.9,309.5,1567.0,35.5,171.0,1,Power Failure
9896,L57075,L,298.8,309.4,1387.0,54.1,171.0,0,No Failure
2622,M17481,M,299.5,309.3,1506.0,41.5,77.0,0,No Failure
8272,L55451,L,299.1,310.7,1309.0,51.1,188.0,0,No Failure
9025,L56204,L,297.4,308.3,1366.0,45.5,11.0,0,No Failure
1229,M16088,M,297.1,308.4,1583.0,38.2,150.0,1,Failure
1379,H30792,H,298.8,310.2,1455.0,44.9,107.0,0,No Failure
5758,L52937,L,301.9,311.3,1366.0,55.6,57.0,0,No Failure
8183,M23042,M,299.7,311.1,1649.0,32.7,185.0,0,No Failure
1750,L48929,L,298.3,307.7,1576.0,33.8,171.0,0,No Failure
4108,L51287,L,302.0,310.5,1809.0,27.1,175.0,1,Heat Dissipation Failure
7403,M22262,M,299.8,310.8,1463.0,43.5,156.0,0,No Failure
8953,M23812,M,297.2,308.0,1478.0,42.5,56.0,0,No Failure
3373,L50552,L,301.4,310.8,1431.0,44.3,21.0,0,No Failure
5385,M20244,M,302.9,312.4,1421.0,46.0,206.0,0,No Failure
2161,L49340,L,299.4,309.0,1507.0,41.0,213.0,1,Failure
7977,H37390,H,301.2,312.4,1395.0,47.8,90.0,0,No Failure
8155,L55334,L,299.6,310.7,1393.0,52.1,110.0,1,Failure
5734,L52913,L,302.3,311.8,1487.0,43.2,206.0,0,No Failure
6477,L53656,L,300.5,309.7,1384.0,48.6,141.0,0,No Failure
3461,L50640,L,301.5,310.3,1415.0,41.6,28.0,0,No Failure
4621,L51800,L,303.1,311.3,1336.0,52.6,172.0,0,No Failure
228,L47407,L,298.3,308.5,1539.0,36.1,168.0,0,No Failure
6499,H35912,H,300.8,309.9,2041.0,19.2,194.0,0,No Failure
5054,L52233,L,303.8,312.9,1514.0,34.3,180.0,0,No Failure
9244,L56423,L,298.3,308.8,1454.0,49.0,166.0,1,Heat Dissipation Failure
937,M15796,M,295.6,306.1,1418.0,46.2,24.0,0,No Failure
6965,M21824,M,300.7,311.0,1263.0,52.3,104.0,0,No Failure
6459,M21318,M,300.6,310.0,1302.0,62.9,87.0,0,No Failure
2075,L49254,L,299.5,309.4,1602.0,31.5,193.0,0,No Failure
2141,L49320,L,299.3,309.0,1419.0,46.6,158.0,0,No Failure
6912,L54091,L,300.8,311.1,1480.0,41.1,176.0,0,No Failure
5765,L52944,L,301.7,311.2,1589.0,37.9,75.0,0,No Failure
4474,L51653,L,302.7,310.5,1551.0,35.9,6.0,0,No Failure
3570,M18429,M,301.8,310.6,1552.0,35.9,97.0,0,No Failure
4452,L51631,L,302.5,310.3,1549.0,40.9,170.0,1,Tool Wear Failure
8871,M23730,M,297.9,309.1,1338.0,49.6,56.0,0,No Failure
2131,L49310,L,299.4,309.0,1391.0,58.2,135.0,0,No Failure
8935,L56114,L,297.3,308.2,1601.0,35.7,9.0,0,No Failure
8400,L55579,L,298.6,309.7,1294.0,59.4,104.0,0,No Failure
2924,M17783,M,300.7,309.7,1397.0,51.3,155.0,0,No Failure
6892,L54071,L,300.9,311.5,1505.0,41.1,129.0,0,No Failure
7074,L54253,L,300.7,310.6,1491.0,43.2,187.0,0,No Failure
879,M15738,M,295.7,306.3,1685.0,34.9,84.0,0,No Failure
2578,L49757,L,299.5,309.4,1563.0,41.5,183.0,0,No Failure
8734,M23593,M,297.3,308.7,1447.0,44.5,105.0,0,No Failure
4396,L51575,L,302.3,310.1,1513.0,40.4,22.0,0,No Failure
8692,L55871,L,297.1,308.5,1555.0,36.2,0.0,0,No Failure
8793,L55972,L,297.4,308.5,1418.0,51.2,52.0,0,No Failure
2516,L49695,L,298.8,308.5,1490.0,35.0,29.0,0,No Failure
603,L47782,L,297.9,309.8,2000.0,21.3,29.0,0,No Failure
2341,L49520,L,299.1,308.1,1479.0,40.7,10.0,0,No Failure
6161,L53340,L,301.0,310.9,1570.0,34.0,192.0,0,No Failure
6744,L53923,L,301.7,311.2,1418.0,38.0,166.0,0,No Failure
8565,M23424,M,298.0,308.7,1614.0,30.7,106.0,0,No Failure
9267,L56446,L,298.2,308.9,1737.0,25.5,26.0,0,No Failure
3593,H33006,H,301.6,310.4,1369.0,45.4,156.0,0,No Failure
8911,L56090,L,297.1,308.4,1550.0,37.0,167.0,0,No Failure
2559,M17418,M,299.2,309.0,1881.0,23.9,137.0,1,Overstrain Failure
929,L48108,L,295.6,306.0,1949.0,21.9,5.0,0,No Failure
4352,L51531,L,301.8,309.6,1432.0,43.7,138.0,0,No Failure
5703,L52882,L,302.3,311.7,1544.0,43.2,128.0,0,No Failure
2356,M17215,M,299.3,308.5,1305.0,60.6,44.0,0,No Failure
2308,H31721,H,299.0,308.5,1623.0,33.5,154.0,0,No Failure
4561,L51740,L,302.7,310.7,1597.0,41.9,15.0,0,No Failure
1019,L48198,L,296.3,307.2,1291.0,58.6,29.0,0,No Failure
1237,H30650,H,297.1,308.4,1359.0,46.6,176.0,1,Failure
4600,L51779,L,303.1,311.1,1420.0,55.8,113.0,0,No Failure
8950,L56129,L,297.4,308.3,1284.0,60.3,50.0,1,Failure
4209,M19068,M,302.3,310.9,1627.0,32.3,0.0,0,No Failure
9693,M24552,M,299.0,310.0,1667.0,30.0,53.0,0,No Failure
9206,L56385,L,297.8,308.8,1579.0,32.9,70.0,0,No Failure
2855,L50034,L,300.5,309.3,1470.0,40.8,219.0,0,No Failure
3976,H33389,H,302.4,311.5,1540.0,43.7,81.0,1,Tool Wear Failure
6689,L53868,L,301.7,311.0,1548.0,40.3,21.0,0,No Failure
2858,M17717,M,300.4,309.2,1528.0,37.2,228.0,0,No Failure
6859,L54038,L,301.0,311.2,1467.0,45.4,36.0,0,No Failure
2027,M16886,M,298.7,308.5,1360.0,52.9,69.0,0,No Failure
473,M15332,M,297.4,309.0,1497.0,41.8,144.0,1,Tool Wear Failure
822,L48001,L,296.7,307.6,1474.0,41.7,148.0,1,Failure
3074,L50253,L,300.1,309.1,1478.0,46.9,116.0,0,No Failure
1314,L48493,L,298.9,310.2,1359.0,56.9,166.0,0,No Failure
9102,H38515,H,297.3,308.2,1653.0,31.4,9.0,0,No Failure
968,M15827,M,295.9,306.6,1532.0,38.6,104.0,0,No Failure
7831,H37244,H,299.9,311.2,1495.0,35.8,175.0,0,No Failure
5474,L52653,L,302.7,312.2,1369.0,51.8,174.0,0,No Failure
1903,L49082,L,298.0,307.6,1694.0,29.1,169.0,0,No Failure
5199,L52378,L,303.8,312.8,1428.0,53.3,152.0,0,No Failure
4273,L51452,L,302.5,310.8,1577.0,36.9,158.0,0,No Failure
9304,L56483,L,298.2,309.0,1491.0,38.3,121.0,0,No Failure
